name,platform,coop_players,has_pvp,year,genre,free2play,url
Tools Up Omega Edition 5,PC,4,No,2001,Battle Royale;Shooter,Yes,https://example.com/games/tools-up-omega-edition-5
World in Conflict Last Edition,Xbox,,No,2015,Racing,No,https://example.com/games/world-in-conflict-last-edition
Puzzle Quest Ultimate Edition,PC;PS5;Xbox;Switch,4,No,2001,Survival;Horror,No,https://example.com/games/puzzle-quest-ultimate-edition
Quake,PC;PS5,4,No,2014,Simulation,No,https://example.com/games/quake
Divinity Remake,PC;PS4;Xbox,4,No,2014,Tactical;Shooter,Yes,https://example.com/games/divinity-remake
Warhammer 40K Mechanicus Omega Edition 3,PC;Xbox,8,No,2006,Sandbox,No,https://example.com/games/warhammer-40k-mechanicus-omega-edition-3
Lunar 4,PC;PS4;Xbox;Switch,,Yes,2004,Sandbox,No,https://example.com/games/lunar-4
Tokyo Ghoul Omega Edition,PC,4,No,2012,Action;Platformer,No,https://example.com/games/tokyo-ghoul-omega-edition
Stacklands Premium Edition,PC;Switch,,No,2011,Simulation,No,https://example.com/games/stacklands-premium-edition
Poker Night Physical Edition,PS5;Xbox,4,No,2012,Strategy;RTS,No,https://example.com/games/poker-night-physical-edition
Homeworld Definitive Edition,PC;PS4;Xbox,4,No,2024,Racing,No,https://example.com/games/homeworld-definitive-edition
Planet Zoo Legendary Edition,PS5;Xbox,3,No,2010,4X;Strategy,No,https://example.com/games/planet-zoo-legendary-edition
Warhammer 40K Mechanicus 4,PC;Xbox,4,No,2000,MOBA;Strategy,No,https://example.com/games/warhammer-40k-mechanicus-4
Next Car Game Premium Edition,PC;PS5,4,No,2018,Shooter;Action,No,https://example.com/games/next-car-game-premium-edition
Real Racing Remake,PC;PS4;Xbox;Switch,,Yes,2026,Racing,No,https://example.com/games/real-racing-remake
Steins Gate Omega Edition 4,PC;PS4;Xbox;Switch,2,Yes,2003,Shooter;RPG,No,https://example.com/games/steins-gate-omega-edition-4
Reckless Racing 2,PC;Xbox,3,Yes,2014,Tactical;Shooter,No,https://example.com/games/reckless-racing-2
Hearthstone Remake,PC;Switch,4,Yes,2010,Tactical;Shooter,No,https://example.com/games/hearthstone-remake
Front Mission 2087 3,PC,4,Yes,2014,Casual;Party,No,https://example.com/games/front-mission-2087-3
Flower Omega Edition 3,Xbox,,No,2006,Puzzle;Adventure,No,https://example.com/games/flower-omega-edition-3
Fate Grand Order Remake,Xbox,,No,2024,Shooter;Action,Yes,https://example.com/games/fate-grand-order-remake
Gundam Seed Battle Assault 7 Physical Edition,PC;PS5;Xbox,4,No,2009,Shooter;Action,No,https://example.com/games/gundam-seed-battle-assault-7-physical-edition
Layers of Fear 3,PC;PS5;Xbox;Switch,Many,Yes,2013,Action;Adventure,No,https://example.com/games/layers-of-fear-3
Danganronpa Alpha Edition,PC;PS4;Xbox;Switch,,No,2009,RPG;Action,No,https://example.com/games/danganronpa-alpha-edition
Endless Space First Edition,PC;PS4;Xbox,,Yes,2021,Action;Platformer,No,https://example.com/games/endless-space-first-edition
Phoenix Point Alpha Edition,PC;Xbox,,No,2000,Puzzle;Adventure,No,https://example.com/games/phoenix-point-alpha-edition
Killing Floor Omega Edition 3,PS5;Xbox,,Yes,2014,Action;Platformer,No,https://example.com/games/killing-floor-omega-edition-3
Pioneer 5,PC;PS4;Xbox;Switch,,Yes,2017,Strategy;RTS,No,https://example.com/games/pioneer-5
Iron Harvest Collector's Edition,PC;PS4;Xbox;Switch,Many,Yes,2017,Action;Platformer,No,https://example.com/games/iron-harvest-collector-s-edition
Dishonored Anniversary Edition,PC;PS5;Xbox;Switch,Many,No,2011,Racing,No,https://example.com/games/dishonored-anniversary-edition
Crash Team Racing Legendary Edition,PC;PS5;Xbox,4,Yes,2022,Sports,No,https://example.com/games/crash-team-racing-legendary-edition
Bulletstorm Ultimate Edition,PC;PS5;Xbox,3,No,2003,Casual;Party,No,https://example.com/games/bulletstorm-ultimate-edition
Stellaris Remastered,PC,Many,Yes,2015,4X;Strategy,No,https://example.com/games/stellaris-remastered
Hollow Knight Legendary Edition,PS5;Xbox,4,No,2018,4X;Strategy,Yes,https://example.com/games/hollow-knight-legendary-edition
Anno Alpha Edition,PC;PS4;Xbox,3,No,2018,Shooter;Action,No,https://example.com/games/anno-alpha-edition
Fez Digital Edition,PC;Switch,,Yes,2020,Action;Adventure,Yes,https://example.com/games/fez-digital-edition
Elite Dangerous Enhanced Edition,PC;Switch,4,No,2009,Puzzle;Adventure,No,https://example.com/games/elite-dangerous-enhanced-edition
Tiny Tina Special Edition,PC,6,Yes,2024,MOBA;Strategy,Yes,https://example.com/games/tiny-tina-special-edition
Inside Omega Edition 4,Xbox,,No,2016,Survival;Sandbox,No,https://example.com/games/inside-omega-edition-4
Crash Team Racing Omega Edition 5,PC;PS5,4,No,2000,Tactical;Shooter,Yes,https://example.com/games/crash-team-racing-omega-edition-5
Traffic Rider 3,PS5;Xbox,,No,2021,Sports,No,https://example.com/games/traffic-rider-3
Sunset Overdrive First Edition,PC;PS5,4,No,2013,Party;Action,No,https://example.com/games/sunset-overdrive-first-edition
The Dark Pictures Game of the Year Edition,Xbox,4,Yes,2000,Strategy;RTS,No,https://example.com/games/the-dark-pictures-game-of-the-year-edition
Rime Enhanced Edition,PC,3,No,2012,Shooter;Action,No,https://example.com/games/rime-enhanced-edition
Tales of Berseria Standard Edition,PC;PS5;Xbox;Switch,,No,2016,Casual;Party,No,https://example.com/games/tales-of-berseria-standard-edition
Gundam Versus 3,PC,,Yes,2002,Strategy;RTS,No,https://example.com/games/gundam-versus-3
UFO Enemy Unknown Final Edition,Xbox,,Yes,2002,Strategy;RTS,No,https://example.com/games/ufo-enemy-unknown-final-edition
Age of Wonders Physical Edition,PC;PS5;Xbox,,Yes,2020,Sports,Yes,https://example.com/games/age-of-wonders-physical-edition
Shapez Remake,Xbox,2,No,2008,Party;Action,No,https://example.com/games/shapez-remake
Sins of a Solar Empire Collector's Edition,PC;PS5,,No,2019,Survival;Horror,No,https://example.com/games/sins-of-a-solar-empire-collector-s-edition
Blazing Souls Physical Edition,PC;Switch,2,No,2001,Racing,No,https://example.com/games/blazing-souls-physical-edition
Until Dawn Last Edition,PC;PS5;Xbox;Switch,6,No,2024,Action;Platformer,No,https://example.com/games/until-dawn-last-edition
Raft 3,PC;PS4;Xbox,,Yes,2000,Shooter;Action,No,https://example.com/games/raft-3
Age of Wonders,PC;Xbox,,No,2003,Party;Action,No,https://example.com/games/age-of-wonders
Goblin Slayer Legendary Edition,PC;PS5,,No,2002,Action;Adventure,No,https://example.com/games/goblin-slayer-legendary-edition
Warhammer 40K Beta Edition,PC;PS4;Xbox,,Yes,2018,Casual;Party,No,https://example.com/games/warhammer-40k-beta-edition
Ronduine Remastered,PC;PS5,4,Yes,2021,Casual;Party,No,https://example.com/games/ronduine-remastered
Friday the 13th Beta Edition,PC;Switch,4,Yes,2002,Strategy;Turn-Based,No,https://example.com/games/friday-the-13th-beta-edition
New World Game of the Year Edition,PC,,Yes,2026,Survival;Sandbox,No,https://example.com/games/new-world-game-of-the-year-edition
Painkiller Remake,PC;PS5,,Yes,2015,Strategy;Turn-Based,No,https://example.com/games/painkiller-remake
Gloomhaven Omega Edition 3,PC;Xbox,6,Yes,2011,4X;Strategy,No,https://example.com/games/gloomhaven-omega-edition-3
Legends of Runeterra Enhanced Edition,Xbox,6,No,2017,RPG;Action,No,https://example.com/games/legends-of-runeterra-enhanced-edition
Planet Zoo Omega Edition 2,PC;PS4;Xbox;Switch,4,No,2005,Sports,No,https://example.com/games/planet-zoo-omega-edition-2
One Piece Bounty Rush Digital Edition,PC;PS5;Xbox,Many,Yes,2011,MOBA;Strategy,No,https://example.com/games/one-piece-bounty-rush-digital-edition
Radical Dreamers Complete Edition,Xbox,8,Yes,2011,Strategy;Turn-Based,Yes,https://example.com/games/radical-dreamers-complete-edition
SimCity BuildIt Anniversary Edition,PC;PS4;Xbox;Switch,Many,No,2014,4X;Strategy,No,https://example.com/games/simcity-buildit-anniversary-edition
Fire Force Omega Edition 4,PC;Xbox,4,Yes,2013,Survival;Horror,No,https://example.com/games/fire-force-omega-edition-4
The Cursed Island Game of the Year Edition,PC;Xbox,6,Yes,2021,Casual;Party,Yes,https://example.com/games/the-cursed-island-game-of-the-year-edition
MX vs ATV Complete Edition,PC,4,No,2009,Shooter;RPG,Yes,https://example.com/games/mx-vs-atv-complete-edition
Quake Complete Edition,PS5;Xbox,,Yes,2022,MOBA;Strategy,Yes,https://example.com/games/quake-complete-edition
Front Mission Online Remastered,PS5;Xbox,4,No,2017,Action;Platformer,No,https://example.com/games/front-mission-online-remastered
Legends of Runeterra Anniversary Edition,PC;PS4;Xbox;Switch,Many,Yes,2008,Shooter;Action,No,https://example.com/games/legends-of-runeterra-anniversary-edition
Endless Legend Beta Edition,PC,3,No,2012,Strategy;RTS,No,https://example.com/games/endless-legend-beta-edition
No Man's Sky 5,PC;PS4;Xbox,,No,2013,Survival;Sandbox,No,https://example.com/games/no-man-s-sky-5
Sly Cooper Final Edition,PS5;Xbox,6,No,2006,Party;Action,No,https://example.com/games/sly-cooper-final-edition
Poker Night 3,Xbox,Many,No,2019,MOBA;Strategy,No,https://example.com/games/poker-night-3
Sky Children of the Light Omega Edition 4,PS5;Xbox,,No,2021,Simulation,No,https://example.com/games/sky-children-of-the-light-omega-edition-4
StarCraft Premium Edition,PC;PS5;Xbox,,Yes,2023,Shooter;RPG,No,https://example.com/games/starcraft-premium-edition
Iron Harvest Alpha Edition,PC;Switch,4,No,2009,Shooter;Action,No,https://example.com/games/iron-harvest-alpha-edition
Dragon Ball Z Dokkan 4,PS5;Xbox,,Yes,2025,Sandbox,No,https://example.com/games/dragon-ball-z-dokkan-4
Guardians of the Galaxy Telltale 3,PC;Switch,4,No,2022,Strategy;RTS,No,https://example.com/games/guardians-of-the-galaxy-telltale-3
Tales of Arise Omega Edition 2,Xbox,,Yes,2020,Simulation,No,https://example.com/games/tales-of-arise-omega-edition-2
Kena Legendary Edition,PC;Xbox,6,No,2005,Tactical;Shooter,No,https://example.com/games/kena-legendary-edition
Celeste Omega Edition,PC;PS4;Xbox;Switch,Many,No,2006,Grand Strategy;Strategy,Yes,https://example.com/games/celeste-omega-edition
Gundam Versus 4,PC;PS4;Xbox,,Yes,2014,4X;Strategy,No,https://example.com/games/gundam-versus-4
Codename Panzers Digital Edition,PC;Xbox,4,No,2021,Sandbox,No,https://example.com/games/codename-panzers-digital-edition
Evolve Omega Edition,PC;PS4;Xbox;Switch,4,No,2018,Survival;Horror,No,https://example.com/games/evolve-omega-edition
Returnal Limited Edition,PC;PS5;Xbox;Switch,4,No,2025,Action;Platformer,No,https://example.com/games/returnal-limited-edition
Gundam Battle Universe Beta Edition,PC;PS4;Xbox;Switch,,Yes,2018,Party;Action,No,https://example.com/games/gundam-battle-universe-beta-edition
Rollercoaster Tycoon Deluxe Edition,Xbox,3,Yes,2021,Strategy;Turn-Based,No,https://example.com/games/rollercoaster-tycoon-deluxe-edition
Last Epoch 4,Xbox,4,No,2020,Tactical;Shooter,Yes,https://example.com/games/last-epoch-4
State of Survival First Edition,Xbox,4,No,2013,4X;Strategy,No,https://example.com/games/state-of-survival-first-edition
Ultimate Chicken Horse Remake,Xbox,,Yes,2019,Survival;Sandbox,Yes,https://example.com/games/ultimate-chicken-horse-remake
Attack on Titan Final Edition,Xbox,4,Yes,2018,Sandbox,No,https://example.com/games/attack-on-titan-final-edition
Front Mission Remake,PC;PS5;Xbox;Switch,6,No,2013,Action;Platformer,No,https://example.com/games/front-mission-remake
Jurassic World Evolution Remake,PC;PS4;Xbox,,No,2025,Party;Action,No,https://example.com/games/jurassic-world-evolution-remake
Star Citizen Final Edition,PC;Xbox,4,Yes,2014,Sports,No,https://example.com/games/star-citizen-final-edition
Vanquish 4,PC;Switch,,No,2020,Survival;Horror,Yes,https://example.com/games/vanquish-4
Warhammer 40K Chaos Gate 2,PS5;Xbox,8,Yes,2009,Simulation,No,https://example.com/games/warhammer-40k-chaos-gate-2
Forza Horizon Remake,PC;PS5;Xbox;Switch,2,No,2002,Tactical;Shooter,No,https://example.com/games/forza-horizon-remake
Batman Telltale Limited Edition,PC;PS5,4,No,2001,MOBA;Strategy,No,https://example.com/games/batman-telltale-limited-edition
Frostpunk Remastered,PC;Switch,6,No,2017,Puzzle;Adventure,No,https://example.com/games/frostpunk-remastered
Phoenix Point Standard Edition,PC;PS5,4,No,2010,4X;Strategy,No,https://example.com/games/phoenix-point-standard-edition
FIFA Remake,PC;PS5,6,No,2014,Survival;Horror,No,https://example.com/games/fifa-remake
Ratchet and Clank Standard Edition,PC;PS5,2,No,2021,Survival;Horror,No,https://example.com/games/ratchet-and-clank-standard-edition
Fire Emblem Warriors Omega Edition 5,PC;PS4;Xbox,4,No,2009,Survival;Sandbox,Yes,https://example.com/games/fire-emblem-warriors-omega-edition-5
Book of Travels 5,PC;PS4;Xbox,4,No,2023,Sandbox,Yes,https://example.com/games/book-of-travels-5
Pokemon Unite Omega Edition 2,PC;PS4;Xbox,,No,2012,Survival;Sandbox,No,https://example.com/games/pokemon-unite-omega-edition-2
Sven Co-op First Edition,PC;PS5,4,No,2013,Shooter;RPG,Yes,https://example.com/games/sven-co-op-first-edition
Everspace Enhanced Edition,PC;PS4;Xbox,4,No,2021,Strategy;RTS,No,https://example.com/games/everspace-enhanced-edition
Colin McRae Special Edition,PC;Switch,,Yes,2004,Shooter;Action,Yes,https://example.com/games/colin-mcrae-special-edition
Hill Climb Racing Beta Edition,PC;Xbox,2,No,2004,4X;Strategy,No,https://example.com/games/hill-climb-racing-beta-edition
Left 4 Dead Last Edition,PC;PS5;Xbox;Switch,,No,2020,Battle Royale;Shooter,Yes,https://example.com/games/left-4-dead-last-edition
Escape Dead Island Beta Edition,PC;PS5;Xbox,8,Yes,2020,Simulation,No,https://example.com/games/escape-dead-island-beta-edition
Lords Mobile Enhanced Edition,PC;PS5,4,Yes,2000,Simulation,Yes,https://example.com/games/lords-mobile-enhanced-edition
Bad North Omega Edition 3,PS5;Xbox,,Yes,2019,Strategy;RTS,No,https://example.com/games/bad-north-omega-edition-3
Monogatari Alpha Edition,PC;Switch,2,Yes,2025,Sandbox,No,https://example.com/games/monogatari-alpha-edition
Colin McRae Remastered,PC;PS4;Xbox;Switch,3,No,2004,Sports,No,https://example.com/games/colin-mcrae-remastered
Return of the Obra Dinn Enhanced Edition,PC;PS5,3,No,2018,4X;Strategy,No,https://example.com/games/return-of-the-obra-dinn-enhanced-edition
Red Dead 5,PC;Switch,Many,No,2007,Racing,No,https://example.com/games/red-dead-5
Cosmic Star Heroine Complete Edition,PC;Switch,,No,2026,Puzzle;Adventure,No,https://example.com/games/cosmic-star-heroine-complete-edition
Divinity Digital Edition,PC;Xbox,,Yes,2013,Strategy;Turn-Based,Yes,https://example.com/games/divinity-digital-edition
Gears of War Standard Edition,PC;PS5;Xbox,,Yes,2020,Grand Strategy;Strategy,No,https://example.com/games/gears-of-war-standard-edition
Cities Legendary Edition,PC;PS5,,No,2016,Shooter;Action,No,https://example.com/games/cities-legendary-edition
Pokemon Unite 2,PC;PS5;Xbox,4,No,2003,RPG;Action,No,https://example.com/games/pokemon-unite-2
Rust,PC;PS4;Xbox;Switch,6,Yes,2002,Shooter;Action,No,https://example.com/games/rust
Warhammer,PC;PS5;Xbox,8,No,2003,Action;Adventure,No,https://example.com/games/warhammer
Age of Wonders Legendary Edition,PC;PS4;Xbox;Switch,4,No,2004,Simulation,No,https://example.com/games/age-of-wonders-legendary-edition
Conan Exiles Remake,PC;PS5;Xbox;Switch,3,No,2026,Simulation;Sandbox,No,https://example.com/games/conan-exiles-remake
Red Orchestra,PS5;Xbox,,No,2009,Puzzle;Adventure,No,https://example.com/games/red-orchestra
Medal of Honor Standard Edition,PC;PS4;Xbox,,No,2009,RPG;Action,No,https://example.com/games/medal-of-honor-standard-edition
Chainsaw Man Omega Edition 5,Xbox,,Yes,2005,Battle Royale;Shooter,No,https://example.com/games/chainsaw-man-omega-edition-5
Project Zomboid 2,Xbox,8,Yes,2021,Shooter;Action,No,https://example.com/games/project-zomboid-2
Path of Exile Game of the Year Edition,PS5;Xbox,,Yes,2014,Shooter;RPG,No,https://example.com/games/path-of-exile-game-of-the-year-edition
Madden NFL Game of the Year Edition,PC;Xbox,4,No,2023,Survival;Horror,Yes,https://example.com/games/madden-nfl-game-of-the-year-edition
Baten Kaitos 5,PC;PS5;Xbox,2,No,2015,Survival;Horror,No,https://example.com/games/baten-kaitos-5
The Forest 4,PC;Xbox,,No,2018,Strategy;RTS,No,https://example.com/games/the-forest-4
SaGa,PC;Switch,,Yes,2013,Strategy;Turn-Based,No,https://example.com/games/saga
DayZ Remake,PC;Switch,,No,2003,MOBA;Strategy,No,https://example.com/games/dayz-remake
Gundam Battle Assault Special Edition,PS5;Xbox,,Yes,2007,Shooter;RPG,Yes,https://example.com/games/gundam-battle-assault-special-edition
Elder Scrolls Online Omega Edition,PC;PS4;Xbox,Many,No,2013,Strategy;Turn-Based,No,https://example.com/games/elder-scrolls-online-omega-edition
Aven Colony Omega Edition 4,PC;PS5;Xbox,,Yes,2014,Casual;Party,No,https://example.com/games/aven-colony-omega-edition-4
Counter-Strike Standard Edition,PC;PS5;Xbox,3,Yes,2004,Puzzle;Adventure,No,https://example.com/games/counter-strike-standard-edition
Disco Elysium Standard Edition,PC;Xbox,4,No,2003,Sports,Yes,https://example.com/games/disco-elysium-standard-edition
Unrailed 5,PS5;Xbox,,No,2023,Sandbox,No,https://example.com/games/unrailed-5
Wolfenstein Limited Edition,PC;PS5;Xbox,4,No,2008,Shooter;RPG,Yes,https://example.com/games/wolfenstein-limited-edition
Banner Saga Game of the Year Edition,PC;PS5;Xbox,,No,2013,Grand Strategy;Strategy,No,https://example.com/games/banner-saga-game-of-the-year-edition
Deus Ex First Edition,PC,3,Yes,2000,MOBA;Strategy,No,https://example.com/games/deus-ex-first-edition
Endless Space Standard Edition,PC;PS4;Xbox;Switch,,No,2017,Grand Strategy;Strategy,No,https://example.com/games/endless-space-standard-edition
Gundam Seed Battle Assault 4 4,PC;PS4;Xbox,3,No,2024,Party;Action,No,https://example.com/games/gundam-seed-battle-assault-4-4
Mortal Online Standard Edition,PC;Switch,2,No,2013,Survival;Horror,No,https://example.com/games/mortal-online-standard-edition
Minecraft Alpha Edition,PC;Switch,3,No,2025,Battle Royale;Shooter,No,https://example.com/games/minecraft-alpha-edition
Fire Force Enhanced Edition,PC;PS4;Xbox;Switch,4,No,2009,Strategy;RTS,No,https://example.com/games/fire-force-enhanced-edition
Sky Children of the Light Legendary Edition,PC;PS5,4,Yes,2007,Battle Royale;Shooter,No,https://example.com/games/sky-children-of-the-light-legendary-edition
Farmville Collector's Edition,PC;PS4;Xbox,,Yes,2026,Party;Action,No,https://example.com/games/farmville-collector-s-edition
Gears Tactics Omega Edition 2,PC;PS5;Xbox,,Yes,2016,Casual;Party,No,https://example.com/games/gears-tactics-omega-edition-2
Remnant,PC;Switch,4,No,2005,Racing,No,https://example.com/games/remnant
Gundam Wing Battle 3,PC;Xbox,4,No,2015,Party;Action,Yes,https://example.com/games/gundam-wing-battle-3
Twisted Metal Limited Edition,PC;Switch,2,No,2004,Simulation;Sandbox,No,https://example.com/games/twisted-metal-limited-edition
Granblue Fantasy Omega Edition 2,Xbox,6,No,2006,Action;Platformer,No,https://example.com/games/granblue-fantasy-omega-edition-2
King of Avalon Physical Edition,PC,3,No,2023,Grand Strategy;Strategy,Yes,https://example.com/games/king-of-avalon-physical-edition
Zill O'll Premium Edition,PC;PS5;Xbox,,Yes,2001,Shooter;Action,No,https://example.com/games/zill-o-ll-premium-edition
Persona 5 Strikers Collector's Edition,PC;Xbox,,No,2020,Racing,No,https://example.com/games/persona-5-strikers-collector-s-edition
Starsector Definitive Edition,PC;PS5;Xbox,,No,2017,Shooter;Action,Yes,https://example.com/games/starsector-definitive-edition
Chorus Remastered,PC;PS5;Xbox;Switch,Many,Yes,2011,Grand Strategy;Strategy,No,https://example.com/games/chorus-remastered
Tales of Symphonia 4,PC,2,No,2005,4X;Strategy,No,https://example.com/games/tales-of-symphonia-4
Miscreated Omega Edition,PC,,Yes,2007,Strategy;RTS,Yes,https://example.com/games/miscreated-omega-edition
Black Clover Standard Edition,PC;Switch,4,Yes,2019,Shooter;RPG,Yes,https://example.com/games/black-clover-standard-edition
Hades Enhanced Edition,PC;Switch,6,No,2025,Survival;Sandbox,No,https://example.com/games/hades-enhanced-edition
Gundam Battle Chronicle Omega Edition 5,PC,,Yes,2012,Grand Strategy;Strategy,No,https://example.com/games/gundam-battle-chronicle-omega-edition-5
Wartales 4,PC;Switch,2,No,2025,Strategy;RTS,No,https://example.com/games/wartales-4
Traffic Rider Remake,PC;Switch,Many,No,2004,Puzzle;Adventure,No,https://example.com/games/traffic-rider-remake
Escape Dead Island Omega Edition 4,PC;PS4;Xbox,Many,Yes,2025,Battle Royale;Shooter,No,https://example.com/games/escape-dead-island-omega-edition-4
Mad Max 4,PC,,Yes,2000,Shooter;RPG,Yes,https://example.com/games/mad-max-4
Age of Empires Collector's Edition,PC;PS5;Xbox,Many,Yes,2000,Action;Adventure,No,https://example.com/games/age-of-empires-collector-s-edition
Tales of Vesperia Game of the Year Edition,PC;PS4;Xbox;Switch,,No,2026,Strategy;Turn-Based,No,https://example.com/games/tales-of-vesperia-game-of-the-year-edition
Front Mission Online Physical Edition,PC;PS5;Xbox,,Yes,2012,Sports,No,https://example.com/games/front-mission-online-physical-edition
Gundam Seed Battle Assault 6 Legendary Edition,PC;Xbox,8,Yes,2011,4X;Strategy,No,https://example.com/games/gundam-seed-battle-assault-6-legendary-edition
Wreckfest Standard Edition,PC;PS5;Xbox,6,No,2026,Action;Platformer,No,https://example.com/games/wreckfest-standard-edition
Abzu Special Edition,PC;PS4;Xbox;Switch,4,No,2023,Strategy;Turn-Based,No,https://example.com/games/abzu-special-edition
Stranded Deep Final Edition,Xbox,,No,2025,Sandbox,No,https://example.com/games/stranded-deep-final-edition
Tales of Arise Digital Edition,PC;Switch,4,Yes,2025,Simulation,Yes,https://example.com/games/tales-of-arise-digital-edition
SimCity Complete Edition,PC;PS5;Xbox;Switch,,No,2014,Action;Adventure,No,https://example.com/games/simcity-complete-edition
Hearts of Iron Omega Edition 5,PC;Xbox,,No,2021,Sports,No,https://example.com/games/hearts-of-iron-omega-edition-5
Gundam Seed Battle 4,PC;PS5;Xbox,2,No,2009,Action;Platformer,No,https://example.com/games/gundam-seed-battle-4
Armored Core Ultimate Edition,PC;Switch,8,No,2019,Party;Action,No,https://example.com/games/armored-core-ultimate-edition
Bulletstorm 2,PC;Switch,2,No,2007,Puzzle;Adventure,Yes,https://example.com/games/bulletstorm-2
World in Conflict Omega Edition 2,Xbox,,Yes,2014,4X;Strategy,No,https://example.com/games/world-in-conflict-omega-edition-2
Rainbow Six Omega Edition,PC;PS5;Xbox,3,No,2021,Survival;Sandbox,No,https://example.com/games/rainbow-six-omega-edition
Deliver Us Mars 5,PC;PS5,4,No,2012,4X;Strategy,No,https://example.com/games/deliver-us-mars-5
Anno Enhanced Edition,PS5;Xbox,4,No,2007,Sandbox,Yes,https://example.com/games/anno-enhanced-edition
Lunar Physical Edition,PC;PS4;Xbox;Switch,6,No,2007,Action;Platformer,Yes,https://example.com/games/lunar-physical-edition
Slay the Spire Omega Edition 5,PS5;Xbox,,Yes,2010,Shooter;Action,No,https://example.com/games/slay-the-spire-omega-edition-5
Returnal Remastered,PC;Xbox,Many,No,2009,Puzzle;Adventure,No,https://example.com/games/returnal-remastered
Tales of Symphonia Alpha Edition,PC;Switch,,No,2004,Party;Action,No,https://example.com/games/tales-of-symphonia-alpha-edition
Grounded,PC;PS4;Xbox,2,Yes,2024,Shooter;RPG,Yes,https://example.com/games/grounded
Dishonored Limited Edition,PC;PS4;Xbox,,No,2009,Survival;Horror,Yes,https://example.com/games/dishonored-limited-edition
Stellaris 5,Xbox,3,No,2018,Party;Action,Yes,https://example.com/games/stellaris-5
Burnout Remastered,PC,4,No,2017,Battle Royale;Shooter,No,https://example.com/games/burnout-remastered
Northgard Omega Edition,PS5;Xbox,4,Yes,2022,RPG;Action,No,https://example.com/games/northgard-omega-edition
Insurgency Co-op Legendary Edition,PC;Xbox,,Yes,2001,Strategy;Turn-Based,No,https://example.com/games/insurgency-co-op-legendary-edition
Two Point Beta Edition,Xbox,4,Yes,2002,Battle Royale;Shooter,No,https://example.com/games/two-point-beta-edition
The Crew Omega Edition,Xbox,,Yes,2012,Survival;Horror,No,https://example.com/games/the-crew-omega-edition
Miscreated Enhanced Edition,PC,,Yes,2022,Simulation;Sandbox,No,https://example.com/games/miscreated-enhanced-edition
Observer 4,PC;PS4;Xbox,Many,No,2018,Casual;Party,No,https://example.com/games/observer-4
Fire Force Omega Edition,PC;PS4;Xbox;Switch,,No,2011,Simulation;Sandbox,No,https://example.com/games/fire-force-omega-edition
Wasteland Ultimate Edition,PC,,No,2007,Party;Action,No,https://example.com/games/wasteland-ultimate-edition
Age of Wonders Digital Edition,Xbox,Many,No,2015,Strategy;RTS,No,https://example.com/games/age-of-wonders-digital-edition
Life is Feudal Standard Edition,PS5;Xbox,4,No,2010,4X;Strategy,Yes,https://example.com/games/life-is-feudal-standard-edition
Overlord Omega Edition 5,PC;Switch,Many,No,2026,Simulation;Sandbox,Yes,https://example.com/games/overlord-omega-edition-5
Madden NFL Remastered,PC;PS5,6,No,2019,Shooter;RPG,Yes,https://example.com/games/madden-nfl-remastered
Fire Force First Edition,PC;PS4;Xbox;Switch,,No,2021,Strategy;Turn-Based,No,https://example.com/games/fire-force-first-edition
Vanillaware Final Edition,PC;PS4;Xbox,4,Yes,2019,Sandbox,Yes,https://example.com/games/vanillaware-final-edition
Empires Mod Ultimate Edition,PC;PS4;Xbox;Switch,8,Yes,2022,Action;Adventure,No,https://example.com/games/empires-mod-ultimate-edition
Jurassic World Evolution Final Edition,PC;PS5;Xbox;Switch,4,No,2006,Strategy;RTS,Yes,https://example.com/games/jurassic-world-evolution-final-edition
Tales of Berseria Anniversary Edition,PC;PS5,4,No,2017,Simulation,Yes,https://example.com/games/tales-of-berseria-anniversary-edition
Danganronpa Complete Edition,PC;PS5,8,Yes,2016,Sandbox,No,https://example.com/games/danganronpa-complete-edition
Chrono Trigger Collector's Edition,Xbox,,Yes,2007,Racing,Yes,https://example.com/games/chrono-trigger-collector-s-edition
Frontlines Digital Edition,PC;Xbox,,Yes,2000,Puzzle;Adventure,No,https://example.com/games/frontlines-digital-edition
Dead Rising Deluxe Edition,PC,3,No,2000,Racing,Yes,https://example.com/games/dead-rising-deluxe-edition
Quake Final Edition,Xbox,Many,No,2016,Simulation,No,https://example.com/games/quake-final-edition
Black Desert 4,PC,,Yes,2018,Tactical;Shooter,No,https://example.com/games/black-desert-4
Majin Tensei 2,PS5;Xbox,6,Yes,2002,Party;Action,No,https://example.com/games/majin-tensei-2
Book of Travels Limited Edition,PC;PS4;Xbox,8,No,2000,RPG;Action,No,https://example.com/games/book-of-travels-limited-edition
Star Ocean First Edition,PC;Xbox,,No,2018,Strategy;Turn-Based,Yes,https://example.com/games/star-ocean-first-edition
World of Warships Definitive Edition,PC;Xbox,,No,2022,Casual;Party,No,https://example.com/games/world-of-warships-definitive-edition
Sword Art Online Digital Edition,PC;PS5,4,No,2021,Shooter;Action,No,https://example.com/games/sword-art-online-digital-edition
Civilization Omega Edition 5,PC;PS4;Xbox;Switch,8,No,2023,Strategy;RTS,No,https://example.com/games/civilization-omega-edition-5
Grand Theft Auto First Edition,PC;PS5;Xbox;Switch,,No,2024,Grand Strategy;Strategy,No,https://example.com/games/grand-theft-auto-first-edition
